profile_a,profile_b,node_visit_js_divergence_nats,edge_flow_js_divergence_nats,win_probability_gap,trajectory_entropy_gap_nats
cautious_neutral_tactical,neutral_neutral_physical,0.060862534907,0.0828255870499,0.025527081259,1.9294173375
cautious_neutral_tactical,neutral_neutral_neutral,0.0401256915985,0.0535413809391,0.042427983932,1.5584432234
cautious_neutral_tactical,neutral_neutral_tactical,0.0345551796912,0.0446284484076,0.058402833982,0.5466290228
cautious_neutral_tactical,neutral_noble_physical,0.0785473206912,0.10533397872,0.023562890958,1.869831807
cautious_neutral_tactical,neutral_noble_neutral,0.0581347904862,0.076213936828,0.032523427209,1.7214114928
cautious_neutral_tactical,neutral_noble_tactical,0.0516571805413,0.0659908772666,0.040860823199,0.8840909684
cautious_neutral_tactical,reckless_selfish_physical,0.108964177069,0.148850996726,0.101640726308,1.0867792234
cautious_neutral_tactical,reckless_selfish_neutral,0.098280545168,0.133723636146,0.107798554603,1.2358273764
cautious_neutral_tactical,reckless_selfish_tactical,0.0888846855812,0.120305062583,0.107842250695,1.1848331487
cautious_neutral_tactical,reckless_neutral_physical,0.130547687449,0.173293531103,0.0919455624678,0.9689131683
cautious_neutral_tactical,reckless_neutral_neutral,0.117346237104,0.155986635613,0.0954546631717,0.981065334
cautious_neutral_tactical,reckless_neutral_tactical,0.106294466166,0.140997188079,0.0932900024143,0.85360502
cautious_neutral_tactical,reckless_noble_physical,0.147266567064,0.19280279789,0.0848554042531,1.2725646869
cautious_neutral_tactical,reckless_noble_neutral,0.13267798051,0.174181285778,0.087378830409,1.1933473769
cautious_neutral_tactical,reckless_noble_tactical,0.121261384299,0.158799548671,0.0840544217807,1.0241866274
cautious_noble_physical,cautious_noble_neutral,0.0104340408025,0.0138276337261,0.023133115896,0.702822896
cautious_noble_physical,cautious_noble_tactical,0.0426147365188,0.0541877845219,0.071221298714,2.340857821
cautious_noble_physical,neutral_selfish_physical,0.0272928342098,0.0421808988477,0.10888090311,1.5890945351
cautious_noble_physical,neutral_selfish_neutral,0.0409575145216,0.0583296699317,0.140206050454,2.2796630839
cautious_noble_physical,neutral_selfish_tactical,0.0706288913065,0.0943738938023,0.168089422793,3.4669653105
